Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Lng,Y/Tgt,R/G,Y/G,Fmb
118,Sammy Watkins,KAN,27,wr,10,9,55,37,67.30%,421,11.4,2,27,37,7.7,3.7,42.1,1
119,Clyde Edwards-Helaire,KAN,21,RB,13,13,54,36,66.70%,297,8.3,1,12,26,5.5,2.8,22.8,0
120,Tyler Eifert,JAX,30,te,15,4,60,36,60.00%,349,9.7,2,22,28,5.8,2.4,23.3,0
121,Zach Ertz,PHI,30,TE,11,11,72,36,50.00%,335,9.3,1,16,42,4.7,3.3,30.5,0
122,Leonard Fournette,TAM,25,rb,13,3,47,36,76.60%,233,6.5,0,9,20,5,2.8,17.9,0
123,Antonio Gibson,WAS,22,rb,14,10,44,36,81.80%,247,6.9,0,9,40,5.6,2.6,17.6,2
124,Jakeem Grant,MIA,28,wr,14,4,54,36,66.70%,373,10.4,1,22,30,6.9,2.6,26.6,2
125,Jonathan Taylor,IND,21,RB,15,13,39,36,92.30%,299,8.3,1,12,39,7.7,2.4,19.9,1
126,James Conner,PIT,25,RB,13,11,43,35,81.40%,215,6.1,0,10,18,5,2.7,16.5,2
127,Gabriel Davis,BUF,21,WR,16,11,62,35,56.50%,599,17.1,7,27,56,9.7,2.2,37.4,1
128,David Moore,SEA,25,wr,16,6,47,35,74.50%,417,11.9,6,18,57,8.9,2.2,26.1,1
129,Golden Tate,NYG,32,,12,4,52,35,67.30%,388,11.1,2,17,39,7.5,2.9,32.3,0
130,Tre'Quan Smith,NOR,24,wr,14,10,50,34,68.00%,448,13.2,4,22,31,9,2.4,32,1
131,John Brown,BUF,30,wr,9,8,52,33,63.50%,458,13.9,3,22,46,8.8,3.7,50.9,0
132,Keke Coutee,HOU,23,wr,8,4,40,33,82.50%,400,12.1,3,19,64,10,4.1,50,4
133,N'Keal Harry,NWE,23,wr,14,9,57,33,57.90%,309,9.4,2,15,30,5.4,2.4,22.1,1
134,Josh Jacobs*,LVR,22,RB,15,15,45,33,73.30%,238,7.2,0,9,29,5.3,2.2,15.9,2
135,David Johnson,HOU,29,RB,12,12,46,33,71.70%,314,9.5,2,16,32,6.8,2.8,26.2,2
136,Allen Lazard,GNB,25,wr,10,9,46,33,71.70%,451,13.7,3,23,72,9.8,3.3,45.1,0
137,Jerick McKinnon,SFO,28,rb,16,4,46,33,71.70%,253,7.7,1,12,26,5.5,2.1,15.8,0
138,Scott Miller,TAM,23,wr,16,5,53,33,62.30%,501,15.2,3,20,48,9.5,2.1,31.3,0
139,Deebo Samuel,SFO,24,wr,7,5,44,33,75.00%,391,11.8,1,19,35,8.9,4.7,55.9,0
140,Willie Snead,BAL,28,wr,13,8,48,33,68.80%,432,13.1,3,23,34,9,2.5,33.2,1
141,Marquez Valdes-Scantling,GNB,26,WR,16,12,63,33,52.40%,690,20.9,6,27,78,11,2.1,43.1,1
142,Melvin Gordon,DEN,27,rb,15,10,44,32,72.70%,158,4.9,1,7,20,3.6,2.1,10.5,4
143,Cam Sims,WAS,24,wr,16,10,48,32,66.70%,477,14.9,1,18,50,9.9,2,29.8,0
144,Mo Alie-Cox,IND,27,te,15,6,39,31,79.50%,394,12.7,2,19,45,10.1,2.1,26.3,1
145,Dan Arnold,ARI,25,te,16,5,45,31,68.90%,438,14.1,4,24,59,9.7,1.9,27.4,2
146,Chris Herndon,NYJ,24,TE,16,13,45,31,68.90%,287,9.3,3,17,26,6.4,1.9,17.9,2
