Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Lng,Y/Tgt,R/G,Y/G,Fmb
476,Donte Moncrief,NWE,27,,6,0,2,1,50.00%,15,15,0,1,15,7.5,0.2,2.5,0
477,Isaac Nauta,DET,23,,7,0,2,1,50.00%,3,3,0,0,3,1.5,0.1,0.4,0
478,Siran Neal,BUF,26,,16,0,1,1,100.00%,13,13,0,1,13,13,0.1,0.8,0
479,Scottie Phillips,HOU,23,,8,0,1,1,100.00%,7,7,0,0,7,7,0.1,0.9,0
480,Dak Prescott,DAL,27,qb,5,5,1,1,100.00%,11,11,1,1,11,11,0.2,2.2,3
481,James Proche,BAL,24,,14,0,3,1,33.30%,14,14,0,1,14,4.7,0.1,1,0
482,Craig Reynolds,JAX,24,,2,0,1,1,100.00%,3,3,0,0,3,3,0.5,1.5,0
483,Aaron Rodgers *+,GNB,37,QB,16,16,1,1,100.00%,-6,-6,0,0,-6,-6,0.1,-0.4,4
484,Jaleel Scott,NYJ,25,wr,1,1,1,1,100.00%,16,16,0,1,16,16,1,16,0
485,Anthony Sherman,KAN,32,rb,13,1,2,1,50.00%,5,5,1,1,5,2.5,0.1,0.4,0
486,Vyncint Smith,NYJ,24,,7,0,3,1,33.30%,13,13,0,1,13,4.3,0.1,1.9,0
487,Jeremy Sprinkle,WAS,26,te,16,6,3,1,33.30%,6,6,0,0,6,2,0.1,0.4,0
488,Ryan Tannehill,TEN,32,QB,16,16,1,1,100.00%,0,0,0,0,0,0,0.1,0,6
489,J.J. Taylor,NWE,22,,6,0,2,1,50.00%,4,4,0,0,4,2,0.2,0.7,0
490,Jordan Thomas,2TM,24,,6,0,2,1,50.00%,3,3,1,1,3,1.5,0.2,0.5,0
491,Colin Thompson,CAR,27,te,15,4,2,1,50.00%,7,7,1,1,7,3.5,0.1,0.5,0
492,Zeke Turner,ARI,24,,16,0,1,1,100.00%,26,26,0,1,26,26,0.1,1.6,0
493,Austin Walter,SFO,24,,4,0,1,1,100.00%,27,27,0,1,27,27,0.3,6.8,0
494,Jonathan Ward,ARI,23,,14,0,1,1,100.00%,11,11,1,1,11,11,0.1,0.8,0
495,Trevon Wesco,NYJ,25,te,12,4,2,1,50.00%,5,5,0,0,5,2.5,0.1,0.4,0
496,Dede Westbrook,JAX,27,,2,0,1,1,100.00%,4,4,0,0,4,4,0.5,2,1
497,Antonio Williams,BUF,23,,1,0,1,1,100.00%,20,20,0,1,20,20,1,20,0
498,Luke Willson,2TM,30,,8,0,3,1,33.30%,12,12,0,0,12,4,0.1,1.5,0
499,T.J. Yeldon,BUF,27,,3,0,4,1,25.00%,22,22,1,1,22,5.5,0.3,7.3,1
